Season,Wteam,Wscore,Wfgm,Wfga,Wfgm3,Wfga3,Wftm,Wfta,Wto,Wstl,Wblk,Wpf,Lteam,Lscore,Lfgm,Lfga,Lfgm3,Lfga3,Lftm,Lfta,Lto,Lstl,Lblk,Lpf
2014,1235,93,35,55,9,17,14,16,9,5,5,14,1300,75,30,65,5,16,10,12,6,3,5,13
2014,1242,80,32,53,0,7,16,24,14,2,7,14,1184,69,22,57,12,31,13,16,7,8,1,21
2014,1246,56,19,50,4,15,14,21,15,4,7,11,1243,49,19,53,5,21,6,12,10,7,3,20
2014,1272,71,27,55,6,22,11,16,12,8,4,20,1203,66,25,56,2,12,14,24,10,9,2,16
2014,1273,78,25,45,5,13,23,28,8,3,0,15,1181,71,22,62,15,37,12,13,12,6,1,22
2014,1314,79,33,71,4,15,9,13,9,7,4,19,1344,77,28,53,4,16,17,21,10,4,8,14
2014,1372,77,27,51,6,16,17,23,17,6,2,16,1433,75,30,65,8,21,7,11,11,11,5,21
2014,1390,58,19,49,8,15,12,17,10,6,5,20,1307,53,19,52,4,21,11,19,10,2,2,18
2014,1397,86,30,56,2,14,24,31,12,8,3,13,1269,67,28,66,3,11,8,11,13,8,1,21
2014,1417,76,29,63,5,16,13,15,10,11,5,13,1409,59,21,57,7,19,10,14,16,2,2,18
2014,1438,70,21,40,8,17,20,25,7,4,5,16,1157,59,21,50,9,19,8,14,8,5,2,19
2014,1455,64,23,50,6,19,12,21,12,4,6,17,1142,37,12,58,5,28,8,18,6,7,1,17
2014,1163,77,23,52,9,20,22,28,11,11,2,17,1437,65,18,51,11,31,18,24,16,6,2,24
2014,1173,55,19,46,7,16,10,18,14,7,4,16,1393,53,21,54,0,10,11,14,9,6,7,16
2014,1196,61,25,58,5,20,6,9,6,10,5,7,1338,45,19,51,4,17,3,6,11,4,2,12
2014,1257,66,22,49,6,17,16,24,19,9,5,18,1387,51,21,53,0,15,9,16,18,9,0,19
2014,1276,79,24,54,14,28,17,21,4,5,2,12,1400,65,23,62,4,11,15,16,9,3,3,16
2014,1277,80,28,57,7,21,17,22,11,9,1,20,1217,73,22,53,6,17,23,30,11,4,3,17
2014,1361,63,19,44,7,16,18,24,6,4,2,16,1295,44,15,47,2,11,12,17,6,1,2,17
2014,1458,85,29,60,11,28,16,25,8,1,1,17,1332,77,24,49,8,18,21,23,8,5,1,23
2014,1112,84,32,65,7,18,13,18,6,15,8,18,1211,61,22,54,6,16,11,13,21,3,5,14
2014,1124,85,30,47,11,18,14,21,8,2,3,11,1166,55,22,55,5,24,6,9,8,4,0,19
2014,1235,85,29,66,12,26,15,21,14,6,1,17,1314,83,33,70,8,20,9,15,12,8,4,21
2014,1246,78,27,50,8,18,16,22,11,6,3,15,1455,76,27,49,10,21,12,18,9,6,3,21
2014,1390,60,21,47,0,9,18,26,16,10,4,15,1242,57,19,58,5,16,14,18,14,9,2,22
2014,1397,83,27,55,6,22,23,26,7,2,0,14,1273,63,24,53,8,22,7,9,6,3,4,21
2014,1417,77,29,53,4,14,15,23,3,3,3,17,1372,60,20,57,7,27,13,16,8,1,1,23
2014,1438,78,30,54,5,11,13,16,10,3,6,16,1272,60,24,59,3,13,9,21,6,7,3,14
2014,1112,70,23,48,5,12,19,25,7,2,4,16,1361,64,21,54,4,14,18,23,10,2,2,20
2014,1173,82,28,58,8,23,18,26,10,8,1,25,1390,72,22,58,5,21,23,33,12,7,5,24
2014,1196,79,29,58,8,21,13,18,12,4,5,15,1417,68,27,64,3,18,11,15,8,8,4,19
2014,1458,69,26,51,6,16,11,20,10,1,6,16,1124,52,18,57,2,15,14,18,6,5,3,16
2014,1163,81,26,50,9,19,20,22,9,5,4,15,1235,76,32,69,6,16,6,15,9,4,3,17
2014,1246,74,24,55,4,14,22,27,12,5,2,19,1257,69,26,53,4,15,13,23,10,6,3,24
2014,1276,73,27,49,11,20,8,10,13,5,1,13,1397,71,30,57,3,11,8,14,7,7,8,13
2014,1277,61,21,47,5,14,14,18,10,5,4,16,1438,59,20,57,6,18,13,17,6,5,4,16
2014,1196,62,18,48,5,15,21,28,7,5,5,10,1173,52,19,48,8,18,6,8,9,5,5,19
2014,1458,64,24,61,6,17,10,12,8,3,0,15,1112,63,23,59,5,12,12,17,7,2,5,17
2014,1163,60,17,49,5,22,21,22,8,7,3,12,1277,54,18,46,11,29,7,8,16,5,3,16
2014,1246,75,31,58,7,11,6,11,11,2,6,14,1276,72,27,57,7,18,11,14,7,4,1,14
2014,1163,63,24,43,5,12,10,13,13,6,4,16,1196,53,19,49,1,10,14,20,11,3,1,14
2014,1246,74,29,58,2,5,14,21,4,4,1,17,1458,73,23,50,8,20,19,20,8,4,3,18
2014,1163,60,22,53,6,19,10,10,10,9,4,17,1246,54,18,46,5,16,13,24,13,6,5,10
2015,1214,74,26,53,3,7,19,34,14,6,3,19,1264,64,23,62,6,25,12,21,17,5,3,25
2015,1279,94,36,80,7,23,15,23,7,7,6,21,1140,90,28,58,15,29,19,27,15,0,2,23
2015,1173,56,20,42,7,21,9,14,11,4,1,14,1129,55,22,55,6,20,5,10,9,5,1,18
2015,1352,81,28,62,4,16,21,33,5,12,2,21,1316,77,25,52,9,22,18,26,19,1,4,23
2015,1112,93,32,53,5,11,24,27,12,8,3,23,1411,72,24,51,5,12,19,30,9,5,3,19
2015,1116,56,22,48,3,8,9,16,10,4,3,16,1459,53,18,57,7,24,10,16,8,5,1,15
2015,1139,56,16,48,4,13,20,28,5,5,4,13,1400,48,17,50,6,19,8,12,15,4,5,22
2015,1153,66,25,61,4,10,12,21,9,8,5,16,1345,65,26,72,4,26,9,15,12,5,1,18
2015,1207,84,25,48,11,23,23,32,14,5,3,18,1186,74,26,64,9,28,13,15,9,3,2,21
2015,1209,57,22,54,5,16,8,13,6,13,2,13,1124,56,19,43,7,19,11,13,21,2,1,13
2015,1246,79,28,61,3,10,20,28,13,7,5,18,1214,56,17,59,4,16,18,23,11,9,3,22
2015,1301,66,28,66,5,24,5,7,11,2,2,15,1261,65,24,60,5,15,12,22,8,5,6,10
2015,1314,67,27,49,5,7,8,13,17,2,2,18,1217,65,21,55,5,13,18,20,7,9,2,16
2015,1323,69,27,47,2,6,13,18,7,9,4,13,1318,65,27,55,3,11,8,10,16,2,0,12
2015,1326,75,28,57,6,15,13,22,11,5,7,17,1433,72,24,63,10,26,14,19,11,4,2,17
2015,1412,60,24,69,3,18,9,11,13,7,5,10,1235,59,24,65,6,23,5,7,11,9,9,15
2015,1417,60,20,47,10,20,10,14,18,4,5,17,1374,59,20,55,7,16,12,20,9,11,4,14
2015,1428,57,18,38,5,13,16,21,17,7,7,12,1372,50,17,51,5,26,11,13,12,7,1,18
2015,1437,93,36,57,11,22,10,15,8,8,6,10,1248,52,21,55,4,18,6,7,15,2,1,11
2015,1462,76,26,56,10,23,14,21,10,6,4,14,1279,57,24,73,6,27,3,5,8,7,4,21
2015,1173,66,18,42,8,23,22,30,12,8,4,14,1344,53,20,59,10,26,3,7,16,4,1,21
2015,1181,85,34,54,10,21,7,14,11,7,3,8,1352,56,24,66,6,19,2,4,8,6,1,17
2015,1211,86,30,58,7,22,19,28,9,5,3,13,1295,76,29,54,10,21,8,12,13,3,3,22
2015,1234,83,35,69,6,16,7,10,5,3,5,11,1172,52,21,63,6,28,4,10,6,1,4,15
2015,1242,75,27,50,9,13,12,15,14,7,3,17,1308,56,20,56,5,15,11,16,11,10,3,15
2015,1257,57,23,55,5,15,6,6,9,4,2,11,1414,55,24,52,5,14,2,2,14,5,2,10
2015,1268,65,19,40,9,21,18,24,11,5,5,19,1434,62,20,56,12,27,10,18,9,5,1,19
2015,1277,70,26,57,7,18,11,19,9,8,3,22,1208,63,19,57,4,14,21,26,12,4,2,19
2015,1320,71,23,50,9,18,16,18,7,9,1,14,1461,54,21,46,9,22,3,9,12,2,3,17
2015,1328,69,25,57,7,24,12,16,9,5,6,14,1107,60,23,61,8,25,6,10,7,6,1,16
2015,1332,79,29,53,7,19,14,18,12,9,6,12,1329,73,27,60,10,29,9,13,12,8,0,17
2015,1361,76,25,53,9,22,17,30,13,5,3,12,1385,64,27,59,3,17,7,11,10,7,2,21
2015,1438,79,26,57,6,17,21,25,7,5,3,10,1125,67,27,57,8,25,5,6,12,4,2,22
2015,1452,68,22,49,5,16,19,27,12,7,1,25,1138,62,20,44,6,16,16,25,17,4,3,24
2015,1455,81,25,61,2,13,29,34,7,9,6,17,1231,76,24,59,11,22,17,20,13,3,3,26
2015,1458,86,33,61,11,27,9,12,9,5,1,11,1157,72,28,58,7,12,9,11,6,8,1,14
2015,1112,73,23,63,7,19,20,24,8,9,4,13,1326,58,20,52,5,17,13,15,12,4,3,17
2015,1246,64,20,54,4,15,20,28,7,7,9,15,1153,51,20,63,2,14,9,14,14,4,6,22
2015,1301,71,24,53,3,11,20,27,10,2,4,21,1437,68,19,61,9,28,21,23,5,5,3,22
2015,1314,87,27,60,4,10,29,37,16,13,3,25,1116,78,24,65,8,25,22,27,21,9,3,23
2015,1323,67,22,51,6,20,17,22,13,4,8,16,1139,64,21,63,4,13,18,21,7,8,5,15
2015,1417,92,35,58,5,9,17,25,13,4,4,16,1412,75,29,66,12,26,5,10,8,5,3,21
2015,1428,75,22,38,8,14,23,32,9,3,3,14,1207,64,24,55,9,25,7,9,9,6,1,24
2015,1462,75,23,34,7,13,22,25,14,3,2,17,1209,67,26,46,6,14,9,13,8,8,2,22
2015,1181,68,30,55,6,14,2,2,9,7,6,12,1361,49,19,58,2,13,9,11,11,6,5,8
2015,1211,87,32,52,10,16,13,21,11,4,2,11,1234,68,28,60,5,15,7,10,11,4,3,17
2015,1257,66,22,48,5,11,17,21,7,2,5,16,1320,53,18,46,6,19,11,13,10,2,1,20
2015,1277,60,17,40,6,12,20,33,6,4,7,19,1438,54,17,57,2,17,18,26,5,2,3,18
2015,1328,72,22,49,9,18,19,24,15,9,3,15,1173,66,22,51,11,21,11,13,13,8,2,20
2015,1452,69,24,60,7,19,14,19,10,15,1,20,1268,59,21,44,8,19,9,13,23,4,7,19
2015,1455,78,25,51,10,20,18,24,12,10,3,20,1242,65,20,57,6,21,19,23,14,8,1,23
2015,1458,72,22,51,7,23,21,29,6,3,3,13,1332,65,26,59,8,19,5,7,8,3,4,20
2015,1112,68,22,54,7,22,17,19,8,9,1,14,1462,60,22,51,3,17,13,16,12,7,3,16
2015,1246,78,24,50,4,15,26,32,10,7,7,21,1452,39,13,54,2,15,11,19,13,4,3,29
2015,1323,81,30,54,9,19,12,15,11,4,4,14,1455,70,26,65,3,18,15,19,7,6,3,16
2015,1458,79,26,56,7,21,20,23,5,3,0,18,1314,72,26,56,8,13,12,18,4,3,1,20
2015,1181,63,20,45,3,9,20,26,14,6,4,16,1428,57,21,60,4,16,11,15,15,8,4,21
2015,1211,74,27,67,3,19,17,23,5,5,4,18,1417,62,26,67,3,13,7,11,7,4,7,22
2015,1257,75,27,54,3,12,18,27,5,5,4,13,1301,65,23,60,9,20,10,14,7,3,3,19
2015,1277,62,22,57,9,27,9,16,5,1,1,16,1328,58,20,55,4,17,14,16,7,2,4,16
2015,1246,68,25,47,4,8,14,20,11,4,9,12,1323,66,26,56,4,14,10,13,7,5,1,14
2015,1458,85,25,45,12,18,23,31,9,5,1,21,1112,78,24,43,2,6,28,30,10,5,1,22
2015,1181,66,21,56,8,19,16,19,3,8,2,12,1211,52,22,50,2,10,6,9,13,1,3,15
2015,1277,76,26,60,9,23,15,20,12,5,7,22,1257,70,23,64,4,11,20,29,9,6,6,16
2015,1181,81,26,50,2,10,27,37,8,9,4,18,1277,61,22,55,7,20,10,16,14,4,3,28
2015,1458,71,23,48,7,17,18,22,10,1,2,14,1246,64,26,54,3,5,9,10,6,5,4,20
2015,1181,68,24,51,4,11,16,20,5,4,6,13,1458,63,25,61,7,21,6,10,5,3,1,15
2016,1195,96,34,57,8,23,20,34,18,6,4,18,1192,65,23,70,8,23,11,18,9,9,1,26
2016,1455,70,22,59,7,19,19,25,7,5,2,22,1435,50,16,53,3,19,15,26,12,1,5,23
2016,1221,59,18,40,9,25,14,19,14,3,1,13,1380,55,22,56,3,20,8,11,9,4,2,20
2016,1276,67,24,59,6,25,13,16,8,5,6,14,1409,62,25,56,3,15,9,15,11,5,6,15
2016,1114,85,30,77,9,27,16,28,9,13,0,22,1345,83,26,62,9,28,22,28,18,2,7,23
2016,1139,71,25,51,9,17,12,16,14,10,2,14,1403,61,25,54,7,18,4,9,14,8,4,16
2016,1163,74,23,58,6,17,22,23,10,8,8,26,1160,67,23,51,2,10,19,30,12,5,3,22
2016,1181,93,29,54,4,15,31,43,10,4,8,18,1423,85,30,68,11,26,14,19,9,5,3,33
2016,1211,68,24,56,6,17,14,21,20,7,2,19,1371,52,20,62,4,21,8,21,12,11,1,21
2016,1231,99,37,57,10,16,15,19,12,10,5,16,1151,74,28,59,3,17,15,18,15,7,2,19
2016,1235,94,32,64,10,22,20,25,10,9,5,17,1233,81,31,64,7,24,12,18,13,6,3,20
2016,1242,105,39,70,6,16,21,27,10,8,9,27,1122,79,25,61,4,15,25,37,12,8,0,23
2016,1246,85,33,63,4,13,15,17,10,9,15,17,1392,57,20,76,3,13,14,18,14,6,3,14
2016,1274,79,24,54,5,15,26,34,14,5,6,18,1138,72,23,59,10,26,16,22,10,4,1,26
2016,1314,83,31,73,7,21,14,19,7,8,10,19,1195,67,25,58,2,11,15,24,14,6,5,19
2016,1344,70,25,62,9,24,11,14,6,5,3,15,1425,69,28,52,6,13,7,13,12,6,2,14
2016,1428,80,27,50,7,18,19,22,20,11,1,11,1201,69,26,53,7,18,10,12,14,15,3,23
2016,1438,81,32,58,12,25,5,8,5,4,7,14,1214,45,17,56,3,19,8,10,7,1,0,11
2016,1455,65,24,59,3,20,14,19,6,9,5,21,1112,55,20,48,6,18,9,15,19,2,3,23
2016,1463,79,26,49,5,16,22,29,12,3,4,17,1124,75,30,68,6,16,9,15,7,9,2,24
2016,1218,77,27,52,3,14,20,25,11,3,3,25,1143,66,23,56,3,19,17,26,16,3,1,24
2016,1234,72,24,69,7,28,17,22,3,6,3,15,1396,70,30,66,4,18,6,9,12,2,3,21
2016,1268,79,23,45,9,23,24,27,13,5,3,17,1355,74,24,59,10,29,16,17,11,5,2,19
2016,1292,90,33,59,11,19,13,21,10,6,5,13,1277,81,30,54,11,24,10,15,14,6,2,22
2016,1320,75,21,43,8,20,25,32,10,2,3,18,1400,72,25,56,9,23,13,18,9,2,4,24
2016,1323,70,25,43,8,15,12,15,16,3,8,9,1276,63,25,63,10,27,3,5,7,10,1,14
2016,1328,82,28,56,11,20,15,25,10,7,7,15,1167,68,26,58,5,18,11,14,14,6,3,22
2016,1332,91,34,61,6,20,17,22,7,1,6,15,1221,52,20,55,6,23,6,15,10,3,2,17
2016,1372,70,17,55,7,23,29,39,7,16,3,25,1452,56,16,52,3,16,21,27,22,5,7,27
2016,1386,78,28,58,9,24,13,17,6,4,4,18,1153,76,28,55,10,24,10,13,9,3,6,15
2016,1393,70,21,53,8,22,20,23,15,7,2,17,1173,51,18,56,6,22,9,19,9,7,3,16
2016,1401,92,32,57,7,19,21,28,20,13,1,19,1453,65,21,56,9,27,14,23,18,14,5,23
2016,1433,75,27,56,4,20,17,21,12,3,4,18,1333,67,25,60,7,17,10,15,6,5,2,19
2016,1437,86,33,57,13,28,7,11,11,8,5,10,1421,56,21,57,5,17,9,13,14,5,2,12
2016,1458,47,17,53,4,19,9,15,6,6,2,11,1338,43,18,48,3,11,4,7,10,3,3,19
2016,1462,71,30,62,7,14,4,4,13,4,2,16,1451,53,22,57,4,21,5,11,11,8,2,14
2016,1181,71,23,50,11,23,14,16,10,6,7,18,1463,64,25,65,4,23,10,13,11,5,5,16
2016,1211,82,34,61,9,19,5,6,9,7,3,13,1428,59,22,52,7,15,8,8,13,5,3,14
2016,1231,73,25,52,6,21,17,23,13,5,4,22,1246,67,24,57,4,16,15,19,16,6,2,24
2016,1235,78,30,53,11,21,7,16,6,6,0,10,1114,61,20,54,8,25,13,16,8,1,1,14
2016,1242,73,25,51,6,17,17,22,13,3,7,13,1163,61,21,62,10,22,9,11,6,7,4,19
2016,1274,65,21,38,7,12,16,23,16,10,4,15,1455,57,20,59,6,22,11,14,15,10,0,18
2016,1314,85,31,59,4,14,19,21,15,5,4,19,1344,66,23,57,6,23,14,23,11,5,1,20
2016,1438,77,29,52,2,10,17,21,9,3,2,13,1139,69,25,54,7,15,12,17,4,7,1,17
2016,1268,73,22,48,1,18,28,31,11,5,7,18,1218,60,23,70,4,19,10,15,9,2,1,22
2016,1323,76,29,51,6,17,12,16,13,2,2,12,1372,75,29,64,8,27,9,9,6,5,5,15
2016,1328,85,29,60,8,26,19,25,12,5,5,18,1433,81,30,66,11,31,10,16,13,7,1,23
2016,1332,69,21,53,6,24,21,25,11,2,7,19,1386,64,22,57,4,15,16,20,12,5,0,20
2016,1393,75,27,49,8,20,13,22,10,6,11,9,1292,50,19,64,8,24,4,8,10,4,2,15
2016,1401,92,31,71,7,31,23,34,14,6,0,23,1320,88,27,69,12,34,22,27,13,9,3,27
2016,1437,87,32,54,10,19,13,17,13,9,4,16,1234,68,27,60,7,24,7,13,13,6,3,19
2016,1458,66,25,59,8,27,8,13,12,3,6,21,1462,63,22,54,5,16,14,21,8,8,1,17
2016,1242,79,29,62,3,9,18,21,11,5,1,20,1268,63,22,55,5,25,14,20,9,7,7,23
2016,1328,77,31,63,11,25,4,9,15,4,5,18,1401,63,22,64,6,28,13,24,12,6,4,12
2016,1332,82,32,65,10,23,8,17,8,3,5,17,1181,68,26,59,7,22,9,15,8,4,3,19
2016,1437,92,32,51,10,15,18,19,8,8,1,16,1274,69,25,47,10,17,9,13,12,6,1,19
2016,1314,101,32,62,11,20,26,33,9,7,5,22,1231,86,25,61,13,31,23,26,12,2,1,27
2016,1323,61,22,55,4,13,13,14,12,10,6,9,1458,56,23,57,6,20,4,6,17,8,4,15
2016,1393,63,22,61,5,15,14,16,9,9,10,12,1211,60,24,55,8,21,4,5,17,4,8,14
2016,1438,84,32,57,4,11,16,24,8,8,5,13,1235,71,27,52,7,18,10,15,12,6,2,19
2016,1328,80,27,58,12,24,14,17,15,4,2,21,1332,68,21,54,4,21,22,30,12,10,2,16
2016,1437,64,21,52,4,18,18,19,9,11,2,16,1242,59,23,50,6,22,7,11,16,5,2,19
2016,1314,88,32,52,4,13,20,24,6,4,1,17,1323,74,27,49,9,18,11,14,7,3,1,18
2016,1393,68,21,57,6,18,20,25,8,11,7,15,1438,62,22,53,8,21,10,12,13,3,8,16
2016,1314,83,35,65,4,17,9,11,12,6,5,12,1393,66,27,66,8,25,4,13,10,8,4,15
2016,1437,95,35,49,11,18,14,19,11,12,3,11,1328,51,19,60,6,27,7,11,17,6,2,20
2016,1437,77,28,48,8,14,13,17,10,5,5,16,1314,74,27,63,11,17,9,13,11,5,3,20
